fecha,recurso,gasto,inversion
2016-12-01 00:00:00-04,-396068200.13,4243294517.31,2840009310.71
2017-01-01 00:00:00-04,1460217502.43,1475302470.69,1122690903.44
2017-02-01 00:00:00-04,391659061.48,169949041.12,275881924.39
2017-03-01 00:00:00-04,371703372.53,168300709.67,509840087.93
2017-04-01 00:00:00-04,814425864.36,492976473.51,328245950.36
2017-05-01 00:00:00-04,359864921.79,262375063.35,901864686.13
2017-06-01 00:00:00-04,7827702263.33,6099991273.38,1571640332.44
2017-07-03 00:00:00-04,4272175013.3,3322189328.91,2265014298.58
2017-08-01 00:00:00-04,733691690.8,610979821.86,2229892874.54
2017-09-01 00:00:00-04,8476559122.38,6412715438.51,2567504447.41
2017-10-02 00:00:00-04,3432377769.4,1878322369.83,4710675998.18
2017-11-01 00:00:00-04,2462794804.65,789194903.8,4323695760.65
2017-12-01 00:00:00-04,3354629190.63,3784376292.83,3436413944.17
2018-01-01 00:00:00-04,370820268.19,725621902.42,1547705617.05
2018-02-01 00:00:00-04,2664295863.53,2192998169.62,1638213917.29
2018-03-01 00:00:00-04,4000306039.7,2695694387.8,1357881399.02
2018-04-01 00:00:00-04,1204885059.79,629126154.38,1331868375.08
2018-05-01 00:00:00-04,218100584.38,291679001.5,1568338550.56
2018-06-01 00:00:00-04,3910603301.63,2363570132.02,3105160500.54
2018-07-01 00:00:00-04,2159521060.45,1926834958.97,1240900610.58
2018-08-01 00:00:00-04,1674661217.34,1718987213.29,1500222467.4
2018-09-03 00:00:00-04,1514494757.98,1434110323.03,1113393695.64
2018-10-01 00:00:00-04,293529692.16,755705423.59,1105771878.08
2018-11-01 00:00:00-04,527954607.03,558757249.48,1072421400.78
2018-12-03 00:00:00-04,252493897.63,1807331186.34,1260263656.35
2019-01-01 00:00:00-04,2724893445.86,1874707495.72,1226264761.28
2019-02-01 00:00:00-04,1165646835.6,1004561031.2,1116161651.46
2019-03-01 00:00:00-04,726982661.2,741951202.52,1313551956.7
2019-04-01 00:00:00-04,2349120203.8,1605525983.21,1669956587.6
2019-05-01 00:00:00-04,1342604439.42,1132190437.1,1460505039.86
2019-06-01 00:00:00-04,1586552643.55,1441500208.94,1000855887.79
2019-07-01 00:00:00-04,1102509408.7,507708957.02,1308481095.59
2019-08-01 00:00:00-04,360279266.34,289276180.99,1121040907.52
2019-09-01 00:00:00-04,545764053.1,834231595.69,957988094.09
2019-10-01 00:00:00-04,2822755889.95,2136434739.63,468618286.8
2019-11-01 00:00:00-04,1355745536.55,1269225038.77,379071553.8
2019-12-01 00:00:00-04,126279241.78,1208201726.76,197524314.22
2020-01-01 00:00:00-04,-5151658.64,65850605.61,465666604.14
2020-02-03 00:00:00-04,157382375.72,1273635533.98,460881435.15
2020-03-01 00:00:00-04,68389843.71,298907857.69,281373460.94
2020-04-01 00:00:00-04,151231739.13,313694313.4,203619977.13
2020-05-01 00:00:00-04,593508143.32,1016965478.43,395622035.83
2020-06-01 00:00:00-04,1213709275.88,317111305.74,147810043.38
2020-07-01 00:00:00-04,387282646.07,458067287.13,304757625.9
2020-08-01 00:00:00-04,732497987.43,587288985.62,180285900.51
2020-09-01 00:00:00-04,95390103.71,301777732.49,200091970.14
2020-10-01 00:00:00-04,331081992.25,552234094.09,400774327.29
2020-11-01 00:00:00-04,666522533.67,693606412.41,516823244.68
2020-12-01 00:00:00-04,1600653474.57,4239127243.42,384949326.72
2021-01-01 00:00:00-04,1382956138.74,730708941.08,683431373.14
2021-02-01 00:00:00-04,3345285481.56,2528268386.09,1065725502.02
2021-03-01 00:00:00-04,345618687.61,290544708.23,951980030.17
2021-04-01 00:00:00-04,870755350.95,1177829264.64,362994320.5
2021-05-01 00:00:00-04,1047069969.75,2000010453.69,459686851.73
2021-06-01 00:00:00-04,1011091778.32,264571873.96,1110661534.24
2021-07-01 00:00:00-04,128432718.96,344599932.89,357345773.93
2021-08-02 00:00:00-04,253578385.53,623158038.46,484767245.51
2021-09-01 00:00:00-04,562680766.98,284967509.14,536855572.48
2021-10-01 00:00:00-04,254148091.35,513224783.31,700093759.83
2021-11-01 00:00:00-04,279438244.76,811809114.02,823107190.52
2021-12-01 00:00:00-04,863045978.16,1021917308.04,1493635569.61
2022-01-01 00:00:00-04,457446235.72,1170044250.6,309327495.94
2022-02-01 00:00:00-04,435655895.44,556880179.75,86212976.78
2022-03-01 00:00:00-04,195723112.1,406058474.86,523039799.21
2022-04-01 00:00:00-04,1812587192.49,571441756.13,532766065.65
2022-05-01 00:00:00-04,2083730673.38,4187781667.3,469198522.68
2022-06-01 00:00:00-04,453009466.58,425216110.63,836076984.71
2022-07-01 00:00:00-04,1033028435.19,346563029.37,442158028.21
2022-08-01 00:00:00-04,241066211.03,690927244.38,241761964.42
2022-09-01 00:00:00-04,336898756.38,284055062.59,396928119.98
2022-10-03 00:00:00-04,180079978.35,847380769.15,769253793.76
2022-11-01 00:00:00-04,161290982.31,638067979.39,538482214.5
2022-12-01 00:00:00-04,172186354.12,855392862.8,1138098023.36
2023-01-01 00:00:00-04,161372662.87,722690140.04,769651608.35
2023-02-01 00:00:00-04,205929963.27,600508831.47,158846517.94
2023-03-01 00:00:00-04,148043553.6,384961779.51,228440165.24
2023-04-03 00:00:00-04,1199556367.51,915580768.6,283327626.0
2023-05-02 00:00:00-04,2024966114.41,3434042354.79,460232843.93
2023-06-01 00:00:00-04,3283196523.9,2025740702.65,391131988.5
2023-07-01 00:00:00-04,199175840.24,439088459.92,292581959.76
2023-08-01 00:00:00-04,424504769.13,790633754.47,270619985.59
2023-09-01 00:00:00-04,771663510.63,722621063.61,242414049.36
2023-10-02 00:00:00-04,237926999.19,1399820813.57,252612290.87
2023-11-01 00:00:00-04,454389524.13,1389125450.48,393522461.76
2023-12-01 00:00:00-04,849232061.07,892430381.72,1250470710.72
2024-01-02 00:00:00-04,170212296.08,792375508.12,310788756.6
2024-02-01 00:00:00-04,340318280.65,559113269.43,288513693.13
2024-03-01 00:00:00-04,194064145.86,386837381.92,145797119.84
2024-04-01 00:00:00-04,1214890294.56,949134192.1,987906185.41
2024-05-01 00:00:00-04,643350386.14,2889135726.79,540404619.29
2024-06-01 00:00:00-04,402421533.17,422438943.46,278945339.3
2024-07-01 00:00:00-04,209174692.68,506725962.23,346114481.01
2024-08-01 00:00:00-04,657847012.16,1053961463.38,73782181.36
2024-09-02 00:00:00-04,3151041380.48,2098864819.06,22301443.27
